*1	𐘀
*2	𐘁
*3	𐘂
*4	𐘃
*5	𐘄
*6	𐘅
*7	𐘆
*8	𐘇
*9	𐘈
*10	𐘉
*11	𐘊
*13	𐘋
*16	𐘌
*17	𐘍
*20	𐘎
*21	𐘏
*21F	𐘐
*21M	𐘑
*22	𐘒
*22F	𐘓
*22M	𐘔
*23	𐘕
*23M	𐘖
*24	𐘗
*26	𐘘
*27	𐘙
*28	𐘚
*28B	𐘛
*29	𐘜
*30	𐘝
*31	𐘞
*34	𐘟
*37	𐘠
*38	𐘡
*39	𐘢
*40	𐘣
*41	𐘤
*44	𐘥
*45	𐘦
*46	𐘧
*47	𐘨
*48	𐘩
*49	𐘪
*50	𐘫
*51	𐘬
*53	𐘭
*54	𐘮
*55	𐘯
*56	𐘰
*57	𐘱
*58	𐘲
*59	𐘳
*60	𐘴
*61	𐘵
*65	𐘶
*66	𐘷
*67	𐘸
*69	𐘹
*70	𐘺
*73	𐘻
*74	𐘼
*76	𐘽
*77	𐘾
*78	𐘿
*79	𐙀
*80	𐙁
*81	𐙂
*82	𐙃
*85	𐙄
*86	𐙅
*87	𐙆
*100-102	𐙇
*118	𐙈
*120	𐙉
*120B	𐙊
*122	𐙋
*123	𐙌
*131	𐙍
*131B	𐙎
*131C	𐙏
*164	𐙐
*171	𐙑
*180	𐙒
*188	𐙓
*191	𐙔
*301	𐙕
*302	𐙖
*303	𐙗
*304	𐙘
*305	𐙙
*306	𐙚
*307	𐙛
*308	𐙜
*309	𐙝
*309B	𐙞
*309C	𐙟
*310	𐙠
*311	𐙡
*312	𐙢
*313	𐙣
*313B	𐙤
*313C	𐙥
*314	𐙦
*315	𐙧
*316	𐙨
*317	𐙩
*318	𐙪
*319	𐙫
*320	𐙬
*321	𐙭
*322	𐙮
*323	𐙯
*324	𐙰
*325	𐙱
*326	𐙲
*327	𐙳
*328	𐙴
*329	𐙵
*330	𐙶
*331	𐙷
*332	𐙸
*333	𐙹
*334	𐙺
*335	𐙻
*336	𐙼
*337	𐙽
*338	𐙾
*339	𐙿
*340	𐚀
*341	𐚁
*342	𐚂
*343	𐚃
*344	𐚄
*345	𐚅
*346	𐚆
*347	𐚇
