	0
𐄇	1
𐄈	2
𐄉	3
𐄊	4
𐄋	5
𐄌	6
𐄍	7
𐄎	8
𐄏	9
𐄐	10
𐄐𐄇	11
𐄐𐄈	12
𐄐𐄉	13
𐄐𐄊	14
𐄐𐄋	15
𐄐𐄌	16
𐄐𐄍	17
𐄐𐄎	18
𐄐𐄏	19
𐄑	20
𐄑𐄇	21
𐄑𐄈	22
𐄑𐄉	23
𐄑𐄊	24
𐄑𐄋	25
𐄑𐄌	26
𐄑𐄍	27
𐄑𐄎	28
𐄑𐄏	29
𐄒	30
𐄒𐄇	31
𐄒𐄈	32
𐄒𐄉	33
𐄒𐄊	34
𐄒𐄋	35
𐄒𐄌	36
𐄒𐄍	37
𐄒𐄎	38
𐄒𐄏	39
𐄓	40
𐄓𐄇	41
𐄓𐄈	42
𐄓𐄉	43
𐄓𐄊	44
𐄓𐄋	45
𐄓𐄌	46
𐄓𐄍	47
𐄓𐄎	48
𐄓𐄏	49
𐄔	50
𐄔𐄇	51
𐄔𐄈	52
𐄔𐄉	53
𐄔𐄊	54
𐄔𐄋	55
𐄔𐄌	56
𐄔𐄍	57
𐄔𐄎	58
𐄔𐄏	59
𐄕	60
𐄕𐄇	61
𐄕𐄈	62
𐄕𐄉	63
𐄕𐄊	64
𐄕𐄋	65
𐄕𐄌	66
𐄕𐄍	67
𐄕𐄎	68
𐄕𐄏	69
𐄖	70
𐄖𐄇	71
𐄖𐄈	72
𐄖𐄉	73
𐄖𐄊	74
𐄖𐄋	75
𐄖𐄌	76
𐄖𐄍	77
𐄖𐄎	78
𐄖𐄏	79
𐄗	80
𐄗𐄇	81
𐄗𐄈	82
𐄗𐄉	83
𐄗𐄊	82
𐄗𐄋	85
𐄗𐄌	84
𐄗𐄍	87
𐄗𐄎	88
𐄗𐄏	89
𐄘	90
𐄘𐄇	91
𐄘𐄈	92
𐄘𐄉	93
𐄘𐄊	94
𐄘𐄋	95
𐄘𐄌	96
𐄘𐄍	97
𐄘𐄎	98
𐄘𐄏	99
𐄙	100
𐄙𐄇	101
𐄙𐄈	102
𐄙𐄉	103
𐄙𐄊	104
𐄙𐄋	105
𐄙𐄌	106
𐄙𐄍	107
𐄙𐄎	108
𐄙𐄏	109
𐄙𐄐	110
𐄙𐄐𐄇	111
𐄙𐄐𐄈	112
𐄙𐄐𐄉	113
𐄙𐄐𐄊	114
𐄙𐄐𐄋	115
𐄙𐄐𐄌	116
𐄙𐄐𐄍	117
𐄙𐄐𐄎	118
𐄙𐄐𐄏	119
𐄙𐄑	120
𐄙𐄑𐄇	121
𐄙𐄑𐄈	122
𐄙𐄑𐄉	123
𐄙𐄑𐄊	124
𐄙𐄑𐄋	125
𐄙𐄑𐄌	126
𐄙𐄑𐄍	127
𐄙𐄑𐄎	128
𐄙𐄑𐄏	129
𐄙𐄒	130
𐄙𐄒𐄇	131
𐄙𐄒𐄈	132
𐄙𐄒𐄉	133
𐄙𐄒𐄊	134
𐄙𐄒𐄋	135
𐄙𐄒𐄌	136
𐄙𐄒𐄍	137
𐄙𐄒𐄎	138
𐄙𐄒𐄏	139
𐄙𐄓	140
𐄙𐄓𐄇	141
𐄙𐄓𐄈	142
