𐙈	*118
𐙉	*120
𐙋	*122
𐙌	*123
𐘋	*13
𐙍	*131
𐘌	*16
𐙐	*164
𐘍	*17
𐙑	*171
𐙒	*180
𐙓	*188
𐙔	*191
𐘎	*20
𐘏	*21
𐘒	*22
𐘕	*23
𐘗	*24
𐘘	*26
𐘙	*27
𐘚	*28
𐘝	*30
𐙕	*301
𐙕	*301
𐙖	*302
𐙗	*303
𐙘	*304
𐙙	*305
𐙚	*306
𐙛	*307
𐙛	*307
𐙜	*308
𐙝	*309
𐘞	*31
𐙠	*310
𐙢	*312
𐙢	*312
𐙣	*313
𐙨	*316
𐙩	*317
𐙪	*318
𐙫	*319
𐙮	*322
𐙯	*323
𐙱	*325
𐙲	*326
𐙳	*327
𐙶	*330
𐙸	*332
𐙹	*333
𐙺	*334
𐙼	*336
𐙽	*337
𐙾	*338
𐙿	*339
𐚁	*341
𐚃	*343
𐚄	*344
𐚆	*346
𐚇	*347
𐚈	*348
𐚋	*351
𐚌	*352
𐚍	*353
𐚎	*354
𐚏	*355
𐚐	*356
𐚑	*357
𐚒	*358
𐚓	*359
𐚔	*360
𐚖	*362
𐚙	*365
𐚚	*366
𐚛	*367
𐚜	*368
𐚝	*369
𐘠	*37
𐚞	*370
𐚟	*371
𐘡	*38
𐘢	*39
𐘣	*40
𐘤	*41
𐘥	*44
𐘨	*47
𐘫	*50
𐚳	*501
𐚴	*502
𐚵	*503
𐚶	*504
𐚷	*505
𐚸	*506
𐘋𐙍	*507
𐚹	*508
𐚺	*509
𐘬	*51
𐚻	*510
𐚼	*511
𐚽	*512
𐚾	*513
𐘗𐘸	*514
𐚿	*515
𐛀	*516
𐘚𐛭	*517
𐘚𐙋	*518
𐘚𐙕	*519
𐛁	*520
𐛂	*521
𐘞𐙍	*522
𐛃	*523
𐛄	*524
𐛅	*525
𐛆	*526
𐛇	*527
𐛈	*528
𐛉	*529
𐛊	*530
𐛋	*531
𐛌	*532
𐘤𐙗	*533
𐛍	*534
𐛎	*535
𐛏	*536
𐛐	*537
𐛑	*538
𐘮	*54
𐛓	*540
𐛔	*541
𐛕	*542
𐘷𐙗	*543
𐘸	*544
𐛖	*545
𐘸𐙁𐘘	*546
𐛗	*547
𐛘	*548
𐛙	*549
𐛚	*550
𐛛	*551
𐛜	*552
𐛝	*553
𐛞	*554
𐛟	*555
𐛢	*558
𐛢	*559
𐘰	*56
𐙁𐘘𐘋	*561
𐙁𐘘𐘙	*562
𐛤	*564
𐛥	*565
𐛦	*566
𐙇	*567
𐛧	*568
𐛨	*569
𐘱	*57
𐛩	*570
𐛪	*571
𐛫	*572
𐛬	*573
𐛭	*574
𐛮	*575
𐛯	*576
𐛰	*577
𐛱	*578
𐛲	*579
𐘲	*58
𐛳	*580
𐛺	*587
𐛻	*588
𐛼	*589
𐘳	*59
𐙍𐘤	*590
𐛽	*591
𐛾	*592
𐙍𐘲	*593
𐛿	*594
𐜀	*595
𐜁	*596
𐙍𐙉	*597
𐜂	*598
𐙒	*599
𐘴	*60
𐜃	*600
𐜄	*601
𐜅	*602
𐜆	*603
𐜇	*604
𐝥𐘻	*605
𐜈	*606
𐝥𐚋	*607
𐜉	*608
𐜊	*609
𐘵	*61
𐜋	*610
𐜌	*611
𐜍	*612
𐜎	*613
𐜏	*614
𐜐	*615
𐜑	*616
𐜒	*617
𐜓	*618
𐜔	*619
𐜕	*620
𐜖	*621
𐜗	*622
𐜘	*623
𐜙	*624
𐙗𐝂𐜝	*625
𐜚	*626
𐜛	*627
𐜜	*628
𐜝	*629
𐜝𐙗𐝂	*630
𐜝𐙨𐝂	*631
𐙘𐙨	*632
𐙘𐙨	*633
𐜞	*634
𐙚𐙇𐙛	*635
𐙚𐙗𐝃	*636
𐜟	*637
𐜠	*638
𐙨𐘁𐙍	*639
𐜡	*640
𐙩𐘸𐙺	*641
𐜢	*642
𐜣	*643
𐜤	*644
𐜥	*645
𐜦	*646
𐚈𐙗	*647
𐜨	*649
𐘶	*65
𐚡𐘇	*650
𐜩	*651
𐜪	*652
𐜫	*653
𐜬	*654
𐜭	*655
𐜮	*656
𐜯	*657
𐜰	*658
𐘷	*66
𐜲	*660
𐜳	*661
𐜴	*662
𐜵	*663
𐜶	*664
𐘸	*67
𐘹	*69
𐘻	*73
𐘼	*74
𐘾	*77
𐘿	*78
𐙀	*79
𐙁	*80
𐙂	*81
𐙄	*85
𐙅	*86
𐙆	*87
